country_name,est_annualy_gwt,total_plants,Coal_cap,Coal_count,Gas_cap,Gas_count,Biomass_cap,Biomass_count,Geothermal_cap,Geothermal_count,Hydro_cap,Hydro_count,Nuclear_cap,Nuclear_count,Oil_cap,Oil_count,Solar_cap,Solar_count,Storage_cap,Storage_count,Waste_cap,Waste_count,Wave and Tidal_cap,Wave and Tidal_count,Wind_cap,Wind_count
Afghanistan,300.55,9,0,0,42,1,0,0,0,0,238.55,6,0,0,0,0,20,2,0,0,0,0,0,0,0,0
Bahrain,7586.3,8,0,0,7574,6,0,0,0,0,0,0,0,0,7.3,1,5,1,0,0,0,0,0,0,0,0
Bangladesh,11840,57,250,1,8767,27,0,0,0,0,230,1,0,0,2560,26,33,2,0,0,0,0,0,0,0,0
Bhutan,1482.2,5,0,0,0,0,0,0,0,0,1482.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,316088.546,1589,204919.22,253,24947.506,68,1003.26,50,0,0,45561.47,233,8780,9,1680.84,17,25549.1,851,0,0,0,0,0,0,3647.15,108
Iran,61362.1,107,0,0,38003,60,0,0,0,0,10857.5,19,1000,1,11310.6,18,91,8,0,0,0,0,0,0,100,1
Iraq,18160.6,28,0,0,9546.6,14,0,0,0,0,2574,8,0,0,6040,6,0,0,0,0,0,0,0,0,0,0
Jordan,4703.5,33,0,0,3754,7,0,0,0,0,0,0,0,0,382,1,567.5,25,0,0,0,0,0,0,0,0
Kazakhstan,18628,33,15868,22,400,2,0,0,0,0,2090,4,0,0,0,0,270,5,0,0,0,0,0,0,0,0
Kuwait,17829.5,9,0,0,17819.5,8,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0
Kyrgyzstan,3634,8,674,1,0,0,0,0,0,0,2910,6,0,0,50,1,0,0,0,0,0,0,0,0,0,0
Lebanon,2070.3,7,0,0,940,2,0,0,0,0,0,0,0,0,1130.3,5,0,0,0,0,0,0,0,0,0,0
Nepal,587.95,14,0,0,0,0,0,0,0,0,557.95,12,0,0,0,0,30,2,0,0,0,0,0,0,0,0
Oman,6010.8,12,0,0,4872,9,0,0,0,0,0,0,0,0,0,0,1138.8,3,0,0,0,0,0,0,0,0
Pakistan,21455,62,3108,7,2853,13,0,0,0,0,7989.6,13,1467,2,4853,14,678.4,6,0,0,0,0,0,0,506,7
Palestine,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,1,0,0,0,0,0,0,0,0
Qatar,10548,12,0,0,10548,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,84341.55,90,0,0,34502.12,31,0,0,0,0,0,0,0,0,49702.43,53,137,6,0,0,0,0,0,0,0,0
Sri Lanka,3720.1,48,900,1,0,0,0,0,0,0,1441.7,21,0,0,1205,9,44.4,3,0,0,0,0,0,0,129,14
Tajikistan,5296.4,10,0,0,0,0,0,0,0,0,4686.4,8,0,0,610,2,0,0,0,0,0,0,0,0,0,0
Turkey,51444.7,163,17707,24,17491,21,0,0,480,11,13839,28,0,0,842.6,3,694.6,68,0,0,0,0,0,0,390.5,8
Turkmenistan,3454,7,0,0,1179,5,0,0,0,0,0,0,0,0,2275,2,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,30327,30,0,0,29487,24,0,0,0,0,0,0,0,0,0,0,840,6,0,0,0,0,0,0,0,0
Uzbekistan,12640,16,2522,2,8578,6,0,0,0,0,1140,6,0,0,300,1,100,1,0,0,0,0,0,0,0,0
Yemen,1045,7,0,0,400,1,0,0,0,0,0,0,0,0,645,6,0,0,0,0,0,0,0,0,0,0
